ubicacion,nombre,telefono,direccion
"Ecuador, GUAYAS, Guayaquil",Hotel La Torre,09-68999181,Chile 303 y Luque piso 13
"Ecuador, PICHINCHA, Quito",Hotel Le Parc,02-2276800,Av República del Salvador N34-349 e Irlanda
"Ecuador, SANTA ELENA, Montañita",Hotel Majagua,04-2060038,Calle de Los Cocteleros
"Ecuador, PICHINCHA, Quito",Hotel Majestic,02-2543182,Mercadillo 366 (Oe2-58) y Versalles (Sta Clara)
"Ecuador, AZUAY, Cuenca",Hotel Majestic,07-2843502,Luis Cordero 11-29 E/ Mariscal y Sangurima
"Ecuador, MANABI, Manta",Hotel Mar Azul,05-2629455,Barrio El Murciélago Calle 22 y Av Flavio Reyes
"Ecuador, SANTA ELENA, Salinas",Hotel Marnier,04-2779588,Av Principal de Salinas Cdla Italiana (Sector San Lorenzo)
"Ecuador, GUAYAS, Guayaquil",Hotel Mi Casa,04-2285099,Primero de Mayo 1010 E/ Tulcán y Carchi
"Ecuador, GUAYAS, Guayaquil",Hotel México 2,04-2415353,Manabí 105 y Cacique Álvarez
"Ecuador, ZAMORA CHINCHIPE, Yantzaza",Hotel Oriental,07-2300901,Av Iván Riofrío y 1ero de Mayo
"Ecuador, MANABI, Manta",Hotel Orlando,05-2922827,Colorado Km 7.5 Carretera Panamericana entre Manta y Montecristi
"Ecuador, GUAYAS, Guayaquil",Hotel Oro Mar,042309916,Ximena 718 E/ Víctor Manuel Rendón y Junín
"Ecuador, PICHINCHA, Quito",Hotel Othello,02-2902490,Av Amazonas N20-20 y 18 de Septiembre
"Ecuador, MANABI, Manta",Hotel Poseidon,05-5002800,Km 1.5 Vía Barbasquillo
"Ecuador, SANTA ELENA, Salinas",Hotel Salinas,04-2774268,Calle 27 y Gral. Enriquez Gallo
"Ecuador, SANTA ELENA, Salinas",Hotel Salinas,04-2772179,General Enrique Gallo y Calle 27
"Ecuador, AZUAY, Cuenca",Hotel San Juan,07-2840870,General Torres 9-59 y Gran Colombia
"Ecuador, TUNGURAHUA, Ambato",Hotel Señorial,03-2826249,Av Cevallos  y Quito (Esq )
"Ecuador, GALAPAGOS, Puerto Ayora",Hotel Solymar,05-2526281,"Av Charles Darwin y Thomas de Berlanga, Isla Santa Cruz"
"Ecuador, GUAYAS, Guayaquil",Hotel Sonesta,04-2595900,Av Joaquín Orrantia y Av Leopoldo Benitez (junto al Mall del Sol)
"Ecuador, GUAYAS, Guayaquil",Hotel Tourist,042309746,Baquerizo Moreno 903 y Junín
"Ecuador, GUAYAS, Guayaquil",Hotel Unipark,04-2327100,Clemente Ballén 406 E/ Chile y Chimborazo
"Ecuador, CHIMBORAZO, Riobamba",Hotel Whymper,03-2968137,Av Miguel Ángel León 2310 y Primera Constituyente ( Riobamba)
"Ecuador, PICHINCHA, Quito",Hotel Windsor,02-2224033,Vicente Ramon Roca E4-115 y Av Amazonas
"Ecuador, AZUAY, Cuenca",Hotel Yanuncay,07-4115081,Vargas Machuca 10-70 E/ Gran Colombia y M. Lamar
"Ecuador, LOS RIOS, Quevedo",Hotel del Río,05-2763381,Vigésima Tercera 1123 y Malecón
